id,pred_label,probs
0,org:top_members/employees,"[0.064451, 0.004214147, 0.2836412, 0.07208399, 0.00025893102, 0.0006987914, 0.00049646734, 0.00010022978, 0.0022002303, 0.2697786, 5.3776635e-05, 3.9511528e-05, 0.0024174724, 0.000868529, 0.0049050977, 0.0024232883, 0.0026501538, 0.0004683234, 0.00019322598, 4.9668666e-05, 0.0005725113, 0.0007288452, 4.3204847e-05, 0.0007267819, 5.8233592e-05, 0.0006268267, 0.28319806, 0.00025015508, 0.001510813, 0.0002919341]"
1,per:alternate_names,"[0.00533782, 0.00039314126, 0.008196741, 0.0138455955, 0.000681506, 0.00181385, 0.0039459434, 0.024394976, 0.00988235, 0.00056766556, 0.00010283655, 0.0007185597, 0.83926827, 0.013116687, 0.0071376655, 0.00040093408, 0.0020628884, 0.00017968926, 0.00021257787, 0.003638984, 8.3920575e-05, 0.045394313, 0.00016731257, 0.0026429342, 0.00040360185, 0.0064489087, 0.0005810556, 0.0054563624, 0.00013646424, 0.0027863153]"
2,no_relation,"[0.9998895, 8.525467e-06, 3.6628328e-06, 1.28642705e-05, 7.546276e-06, 2.1486057e-06, 6.4710666e-06, 3.6645938e-06, 2.6406458e-06, 6.9604466e-06, 1.6874992e-06, 3.0144097e-06, 1.9334009e-06, 6.2778436e-06, 1.1549281e-06, 2.581519e-07, 2.8420704e-06, 8.229483e-06, 4.332022e-07, 4.10998e-07, 2.0889247e-06, 3.0640617e-06, 2.4136905e-06, 8.322679e-06, 1.3635076e-06, 2.7411932e-06, 7.6069887e-07, 1.8448292e-06, 5.578488e-06, 1.5484684e-06]"
3,per:parents,"[0.0029611266, 4.1957777e-05, 0.00022483934, 1.5342795e-05, 0.0001357367, 2.5173164e-05, 2.0031208e-05, 0.00011780565, 0.0001271267, 6.998883e-05, 1.5144537e-05, 0.0008698738, 0.0018257305, 0.0015218696, 0.0005630969, 3.2192576e-05, 0.007595674, 9.1770315e-05, 2.2295084e-05, 8.9197514e-05, 2.406488e-05, 0.6916362, 7.9114805e-05, 0.00030034466, 6.852473e-05, 0.28541955, 0.0001368005, 0.0055969073, 7.207368e-05, 0.00030052615]"
4,org:top_members/employees,"[0.12873435, 5.712127e-05, 0.85772747, 0.00015672878, 1.8272836e-05, 6.745168e-05, 9.375748e-05, 2.6502466e-05, 2.6945354e-05, 9.5689866e-05, 3.0874312e-06, 6.5756336e-05, 0.000110030334, 5.5465032e-05, 0.012021083, 0.0001710597, 5.085022e-05, 2.002063e-05, 1.0719266e-05, 6.0495677e-06, 2.7566253e-05, 0.00028290282, 1.45311315e-05, 2.1994905e-05, 7.4583813e-06, 2.0778314e-05, 3.647083e-05, 1.8067187e-05, 2.1040212e-05, 3.0684965e-05]"
5,org:member_of,"[0.13663721, 0.80672723, 0.03560032, 0.001959533, 2.1524287e-05, 0.0005359922, 0.00012887282, 4.4753084e-05, 0.00013632262, 0.008718306, 0.00019085516, 0.00031473723, 3.5037967e-05, 8.6266875e-05, 0.0019215946, 0.0046313526, 0.00022954182, 0.00020456937, 0.00025896836, 1.4711572e-05, 0.00011003835, 0.00038761197, 4.0595594e-05, 3.4188663e-05, 1.3257618e-05, 0.0002297216, 0.0005005656, 8.148288e-05, 6.845474e-05, 0.00013643589]"
6,per:employee_of,"[1.08557415e-05, 4.808655e-06, 1.3107249e-06, 8.018553e-07, 6.473656e-07, 4.319938e-07, 0.99994874, 5.8119294e-06, 4.4414214e-06, 1.4718181e-06, 2.7772617e-06, 2.048242e-06, 1.122387e-06, 1.5254639e-06, 5.269997e-07, 6.336656e-07, 8.395674e-07, 4.770954e-07, 1.967193e-07, 6.462005e-07, 2.0817922e-07, 9.2106137e-07, 3.3325518e-06, 1.8376817e-07, 1.7038045e-06, 3.9636348e-07, 3.5129491e-07, 1.3138863e-06, 1.3107011e-06, 2.759729e-07]"
7,per:spouse,"[1.2723249e-05, 1.11255495e-05, 2.1060669e-06, 3.966464e-06, 3.1646666e-06, 6.652251e-06, 6.2965787e-06, 8.6128575e-06, 1.9535597e-05, 3.7374815e-05, 4.22387e-06, 3.9593738e-06, 3.5424036e-06, 0.99825233, 1.420043e-05, 2.2146865e-05, 8.0331396e-05, 1.6016515e-05, 5.255593e-06, 7.937132e-06, 8.0467535e-06, 0.0008086673, 2.0909782e-05, 3.4302536e-06, 4.486773e-06, 0.00058213965, 9.273015e-06, 2.9712812e-05, 1.4363334e-06, 1.0441424e-05]"
8,no_relation,"[0.6911268, 0.00039319156, 0.0012900175, 0.0001680881, 2.903763e-05, 0.00023026291, 6.960838e-05, 3.532934e-05, 2.3426706e-05, 0.268906, 2.5295065e-05, 3.3976867e-05, 1.975654e-05, 0.0005234695, 0.0004948374, 8.6242595e-05, 0.034736533, 8.707016e-05, 7.861244e-05, 2.149413e-05, 0.000109447545, 0.00012124078, 4.90803e-05, 5.8957557e-05, 6.35133e-05, 0.0005140544, 0.000286097, 0.00019806977, 0.00010358926, 0.00011681794]"
9,org:top_members/employees,"[0.0003364544, 0.0001972319, 0.99391645, 0.00084362074, 3.413614e-05, 0.00013616563, 0.00010365358, 3.734751e-05, 5.0675182e-05, 0.00017660593, 3.5110895e-06, 3.4557142e-05, 0.0013034561, 1.9650259e-05, 0.0019021108, 0.00013648141, 5.2990068e-05, 9.451217e-06, 6.382892e-05, 1.1965703e-05, 1.79815e-05, 0.000103759994, 4.3402415e-06, 2.0789437e-05, 8.2904235e-06, 1.0056892e-05, 0.00021386056, 0.00020722621, 2.0514417e-05, 2.2740547e-05]"
